"title"	"date"	"document_doc"	"document_pdf"	"text"	"document_reference"	"agency"	"month"	"quarter"	"year"
"Future role of the United Kingdom in EU police cooperation"	2012-11-12	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/009784/P7_QE(2012)009784_EN.doc"	NA	"Extract: representatives of different EU agencies, such as Eurojust, Europol and OLAF, at the hearings organized by Parliament’s Special Committee on Organised Crime, Cooperation and Money Laundering (CRIM). As mentioned by representatives of Europol on several occasions"	"
								 
							      
							      
							         P7_QE(2012)009784
							      
							    
							"	"Eurojust"	2012-11-01	2012-10-01	2012-01-01
"Extent and quantification of fraud (and misuse) of EU funds"	2012-10-11	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/008812/P7_QE(2012)008812_EN.doc"	NA	"Extract: December 2011 entitled ‘How does organised crime misuse EU funds?’ states that ‘[t]he conclusion is that little information on how and to what extent organised crime misuse EU funds is available from OLAF, Europol, Eurojust and ECA’ and that ‘[t]he question"	"
								 
							      
							      
							         P7_QE(2012)008812
							      
							    
							"	"Eurojust"	2012-10-01	2012-10-01	2012-01-01
"Protection of the EU's financial interests"	2012-10-08	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/008704/P7_QE(2012)008704_EN.doc"	NA	"Extract:) thereof, EUROJUST is responsible for launching criminal investigations and proceedings and proposing the initiation of prosecutions relating to offences against the financial interests of the Union, particularly fraud, corruption and other illegal"	"
								 
							      
							      
							         P7_QE(2012)008704
							      
							    
							"	"Eurojust"	2012-10-01	2012-10-01	2012-01-01
"An EU definition of crime"	2012-10-08	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/008655/P7_QE(2012)008655_EN.doc"	NA	"Extract:Question for written answer E-008655/2012to the CommissionRule 117James Nicholson (ECR)Subject:An EU definition of crimeEurojust considers that some of the most significant coordination problems it faces concerning cross-border police"	"
								 
							      
							      
							         P7_QE(2012)008655
							      
							    
							"	"Eurojust"	2012-10-01	2012-10-01	2012-01-01
"Eurojust engagement with national police forces"	2012-10-08	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/008654/P7_QE(2012)008654_EN.doc"	NA	"Extract:Question for written answer E-008654/2012to the CommissionRule 117James Nicholson (ECR)Subject:Eurojust engagement with national police forcesWhile Eurojust’s engagement with national police forces has in the past five years improved"	"
								 
							      
							      
							         P7_QE(2012)008654
							      
							    
							"	"Eurojust"	2012-10-01	2012-10-01	2012-01-01
"Eurojust and people smugglers"	2012-06-29	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/006212/P7_QE(2012)006212_EN.doc"	NA	"Extract:Question for written answer E-006212/2012to the CommissionRule 117Simon Busuttil (PPE)Subject:Eurojust and people smugglersDuring an exchange of views on Eurojust’s 2011 Annual Report at a meeting of Parliament’s Committee on Civil"	"
								 
							      
							      
							         P7_QE(2012)006212
							      
							    
							"	"Eurojust"	2012-06-01	2012-04-01	2012-01-01
"The fight against paedophilia"	2012-03-20	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/002868/P7_QE(2012)002868_EN.doc"	NA	"Extract:Question for written answer E-002868/2012to the CommissionRule 117Sergio Paolo Frances Silvestris (PPE)Subject:The fight against paedophiliaThe Public Prosecutor’s Office in Florence and Eurojust have coordinated a vast international"	"
								 
							      
							      
							         P7_QE(2012)002868
							      
							    
							"	"Eurojust"	2012-03-01	2012-01-01	2012-01-01
"The EU budget"	2012-03-12	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/002485/P7_QE(2012)002485_EN.doc"	NA	"Extract:.’The EU budget for 2012 amounts to EUR 129 billion.The President of the European Union's Judicial Cooperation Unit (Eurojust), Aled Williams, said that technology and the opening up of European markets have made these criminal acts easier.Can the"	"
								 
							      
							      
							         P7_QE(2012)002485
							      
							    
							"	"Eurojust"	2012-03-01	2012-01-01	2012-01-01
"Measures to effectively combat waste crime and illegal shipment and dumping of waste"	2011-10-04	"http://www.europarl.europa.eu/RegData/questions/ecrites/2011/008793/P7_QE(2011)008793_EN.doc"	NA	"Extract: harmonise the implementation and particularly the enforcement of waste legislation (with a proper enforcement infrastructure, adequate fining system and cooperation with Europol and Eurojust) throughout the European Union, and if so, what action is the"	"
								 
							      
							      
							         P7_QE(2011)008793
							      
							    
							"	"Eurojust"	2011-10-01	2011-10-01	2011-01-01
"Case involving Mr Golovatov"	2011-08-01	"http://www.europarl.europa.eu/RegData/questions/ecrites/2011/007607/P7_QE(2011)007607_EN.doc"	NA	"Extract:, Lithuania commenced proceedings before Eurojust against Austria over the case.The following are just some of the issues raised by Lithuania:Why did Austria wait 12 hours before notifying Lithuania of Mr Golovatov’s detention?What were the grounds for"	"
								 
							      
							      
							         P7_QE(2011)007607
							      
							    
							"	"Eurojust"	2011-08-01	2011-07-01	2011-01-01
"Counter-terrorism office"	2011-05-09	"http://www.europarl.europa.eu/RegData/questions/ecrites/2011/004496/P7_QE(2011)004496_EN.doc"	NA	"Extract: de Kerchove, in charge of CEPOL, COSI, Eurojust, Europol and Frontex.1.What security benefits does the Commission expect this will have for EU citizens?2.What additional benefits does the Commission expect this will have?3.What costs or savings"	"
								 
							      
							      
							         P7_QE(2011)004496
							      
							    
							"	"Eurojust"	2011-05-01	2011-04-01	2011-01-01
"Eurojust"	2010-11-26	"http://www.europarl.europa.eu/RegData/questions/ecrites/2010/9873/P7_QE(2010)9873_EN.doc"	NA	"Extract:Question for written answer E-9873/2010to the CommissionRule 117Andrew Henry William Brons (NI)Subject:EurojustCould a Member State's police force be instructed by Eurojust to commit resources investigating persons, searching premises and"	"
								 
							      
							      
							         P7_QE(2010)9873
							      
							    
							"	"Eurojust"	2010-11-01	2010-10-01	2010-01-01
"Intelligence, Europol, Eurojust and the Eurogendarmerie"	2010-10-26	"http://www.europarl.europa.eu/RegData/questions/ecrites/2010/8701/P7_QE(2010)8701_EN.doc"	NA	"Extract:Question for written answer E-8701/2010to the CommissionRule 117Nick Griffin (NI)Subject:Intelligence, Europol, Eurojust and the EurogendarmerieWith regard to your responses to questions E-1352/2010 and E-2594/2010, given that there is no"	"
								 
							      
							      
							         P7_QE(2010)8701
							      
							    
							"	"Eurojust"	2010-10-01	2010-10-01	2010-01-01
"Justice and Home Affairs"	2010-10-20	"http://www.europarl.europa.eu/RegData/questions/ecrites/2010/8608/P7_QE(2010)8608_EN.doc"	NA	"Extract:, inter alia, submit proposals on Europol and Eurojust before 1 September 2010. The Commission's action plan for implementing the Stockholm Programme was outlined in the action plan on freedom, security and justice for Europe's citizens. According to the"	"
								 
							      
							      
							         P7_QE(2010)8608
							      
							    
							"	"Eurojust"	2010-10-01	2010-10-01	2010-01-01
"Money laundering"	2010-06-22	"http://www.europarl.europa.eu/RegData/questions/ecrites/2010/4548/P7_QE(2010)4548_EN.doc"	NA	"Extract: of the policy primarily depends on bringing national criminal legislation in that area more closely into alignment and on action by Europol and, to some extent, by Eurojust.In view of the foregoing, does the Council intend to tighten up controls and"	"
								 
							      
							      
							         P7_QE(2010)4548
							      
							    
							"	"Eurojust"	2010-06-01	2010-04-01	2010-01-01
"Very small number of rape charges resulting in trials in all the EU Member States"	2010-04-06	"http://www.europarl.europa.eu/RegData/questions/ecrites/2010/2063/P7_QE(2010)2063_EN.doc"	NA	"Extract:, will the Commission say:As part of police and judicial cooperation at European level through Europol and Eurojust, are efforts being made to obtain data concerning the real extent of the problem, to plan a specific strategy aimed at identifying"	"
								 
							      
							      
							         P7_QE(2010)2063
							      
							    
							"	"Eurojust"	2010-04-01	2010-04-01	2010-01-01
"Eurojust report for 2008"	2009-10-07	"http://www.europarl.europa.eu/RegData/questions/ecrites/2009/4712/P7_QE(2009)4712_EN.doc"	NA	"Extract:WRITTEN QUESTION E-4712/09by Agustín Díaz de Mera García Consuegra (PPE)to the CommissionSubject:Eurojust report for 2008The Eurojust annual report for 2008 states that during that year there were 28 cases of failure to comply with the"	"
								 
							      
							      
							         P7_QE(2009)4712
							      
							    
							"	"Eurojust"	2009-10-01	2009-10-01	2009-01-01
"EUROJUST: exchange of information with regard to criminal records"	2009-08-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2009/4048/P7_QE(2009)4048_EN.doc"	NA	"Extract:WRITTEN QUESTION E-4048/09by Agustín Díaz de Mera García Consuegra (PPE)to the CommissionSubject:EUROJUST: exchange of information with regard to criminal recordsA decisive feature of the strategy for strengthening EUROJUST, particularly"	"
								 
							      
							      
							         P7_QE(2009)4048
							      
							    
							"	"Eurojust"	2009-08-01	2009-07-01	2009-01-01
"EUROJUST: exchange of information with regards to criminal records"	2009-08-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2009/4047/P7_QE(2009)4047_EN.doc"	NA	"Extract:WRITTEN QUESTION E-4047/09by Agustín Díaz de Mera García Consuegra (PPE)to the CouncilSubject:EUROJUST: exchange of information with regards to criminal recordsA decisive feature of the strategy for strengthening EUROJUST, particularly"	"
								 
							      
							      
							         P7_QE(2009)4047
							      
							    
							"	"Eurojust"	2009-08-01	2009-07-01	2009-01-01
"'Green Funds' (Islamic investment funds, holding companies, corporations and small-scale companies based in Turkey)"	2009-07-24	"http://www.europarl.europa.eu/RegData/questions/ecrites/2009/3724/P7_QE(2009)3724_EN.doc"	NA	"Extract: operate in at least 15 EU countries, has the Council or one of the EU Member States asked Eurojust to investigate this fraud? Could the Council explain what forms of legal investigation have been initiated? Is the Council willing to draft proposals to"	"
								 
							      
							      
							         P7_QE(2009)3724
							      
							    
							"	"Eurojust"	2009-07-01	2009-07-01	2009-01-01
"Banning EU-based front organisations of the Liberation Tigers of Tamil Eelam"	2009-03-03	"http://www.europarl.europa.eu/RegData/questions/ecrites/2009/1352/P6_QE(2009)1352_EN.doc"	NA	"Extract: the necessary information to take these decisions? To what extent does the Council cooperate with Europol and Eurojust and coordinate joint activities so as to ensure the best possible response to the activities of the various LTTE front organisations"	"
								 
							      
							      
							         P6_QE(2009)1352
							      
							    
							"	"Eurojust"	2009-03-01	2009-01-01	2009-01-01
"Resolving conflicts of criminal jurisdiction"	2009-01-13	"http://www.europarl.europa.eu/RegData/questions/ecrites/2008/7069/P6_QE(2008)7069_EN.doc"	NA	"Extract: referral to Eurojust if no agreement is reached.  1.What public consultation is being undertaken on this proposal, which may have far-reaching implications on citizens? Is an impact assessment being carried out on it and if not, why not, in view of the"	"
								 
							      
							      
							         P6_QE(2008)7069
							      
							    
							"	"Eurojust"	2009-01-01	2009-01-01	2009-01-01
"OLAF inquiry into Hellenic Shipyards A.E."	2008-07-15	"http://www.europarl.europa.eu/RegData/questions/ecrites/2008/3997/P6_QE(2008)3997_EN.doc"	NA	"Extract:WRITTEN QUESTION E-3997/08by Dimitrios Papadimoulis (GUE/NGL)to the CommissionSubject:OLAF inquiry into Hellenic Shipyards A.E.A team of Eurojust prosecutors and Olaf officials has been sent to Greece for an exchange of information with"	"
								 
							      
							      
							         P6_QE(2008)3997
							      
							    
							"	"Eurojust"	2008-07-01	2008-07-01	2008-01-01
"Eurojust"	2008-06-18	"http://www.europarl.europa.eu/RegData/questions/ecrites/2008/3473/P6_QE(2008)3473_EN.doc"	NA	"Extract:WRITTEN QUESTION E-3473/08by Enrique Barón Crespo (PSE)to the CommissionSubject:EurojustAccording to the European Commission’s annual report on Eurojus (Comm/B.2 D(2008) 7143), that service has settled 9 394 matters in countries such as"	"
								 
							      
							      
							         P6_QE(2008)3473
							      
							    
							"	"Eurojust"	2008-06-01	2008-04-01	2008-01-01
"Conditions in Greek prisons"	2008-05-06	"http://www.europarl.europa.eu/RegData/questions/ecrites/2008/2550/P6_QE(2008)2550_EN.doc"	NA	"Extract: services at EU level. These include, for example, the current initiative by 14 Member States to give greater powers to Eurojust. There is nothing wrong with showing some ambition, of course, but it does not mean, in my opinion, that problems on the ground"	"
								 
							      
							      
							         P6_QE(2008)2550
							      
							    
							"	"Eurojust"	2008-05-01	2008-04-01	2008-01-01
"Cross-border crime against shops"	2008-03-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2008/1237/P6_QE(2008)1237_EN.doc"	NA	"Extract: European level and bring about effective exchanges of information on this subject? If not, why not?4.Are Europol and Eurojust active in this field? If so, what are they doing, and what practical results are they achieving? If not, why not?5.The"	"
								 
							      
							      
							         P6_QE(2008)1237
							      
							    
							"	"Eurojust"	2008-03-01	2008-01-01	2008-01-01
"Living conditions in Greek prisons"	2008-02-06	"http://www.europarl.europa.eu/RegData/questions/ecrites/2008/0507/P6_QE(2008)0507_EN.doc"	NA	"Extract: the Commission indicated in a communication that it wished to give Eurojust more powers. It regards better cooperation, inter alia through Eurojust, as a must in order to tackle international crime. The plans relating to Eurojust are an example of"	"
								 
							      
							      
							         P6_QE(2008)0507
							      
							    
							"	"Eurojust"	2008-02-01	2008-01-01	2008-01-01
"Eurojust and the British police"	2007-08-21	"http://www.europarl.europa.eu/RegData/questions/ecrites/2007/4187/P6_QE(2007)4187_EN.doc"	NA	"Extract:WRITTEN QUESTION E-4187/07by Robert Kilroy-Silk (NI)to the CommissionSubject:Eurojust and the British policeWhen does the Commission expect Eurojust to be able to compel the British police to mount prosecutions?680728.ENPE 393.495"	"
								 
							      
							      
							         P6_QE(2007)4187
							      
							    
							"	"Eurojust"	2007-08-01	2007-07-01	2007-01-01
"Billions of euros lost in VAT fraud"	2007-05-14	"http://www.europarl.europa.eu/RegData/questions/ecrites/2007/2521/P6_QE(2007)2521_EN.doc"	NA	"Extract:WRITTEN QUESTION E-2521/07by Gabriele Stauner (PPE-DE)to the CouncilSubject:Billions of euros lost in VAT fraudIn a press release dated 13 March 2007, Eurojust reported on a successful operation against a network of VAT fraudsters that"	"
								 
							      
							      
							         P6_QE(2007)2521
							      
							    
							"	"Eurojust"	2007-05-01	2007-04-01	2007-01-01
"The Eurojust Agreement on judicial cooperation between the EU and the USA"	2006-12-12	"http://www.europarl.europa.eu/RegData/questions/ecrites/2006/5384/P6_QE(2006)5384_EN.doc"	NA	"Extract:WRITTEN QUESTION E-5384/06by Henrik Lax (ALDE)to the CouncilSubject:The Eurojust Agreement on judicial cooperation between the EU and the USAAt the beginning of November, an agreement was signed between the EU and the USA concerning"	"
								 
							      
							      
							         P6_QE(2006)5384
							      
							    
							"	"Eurojust"	2006-12-01	2006-10-01	2006-01-01
"Clinger-Cohen Act"	2006-11-23	"http://www.europarl.europa.eu/RegData/questions/ecrites/2006/5036/P6_QE(2006)5036_EN.doc"	NA	"Extract: systems.Given that the Eurojust Joint Supervisory Body is looking into whistle-blowing hotlines in relation to changes in US law covering corporate governance, can the Commission consider giving support to the adoption of a similar Act?639559.ENPE"	"
								 
							      
							      
							         P6_QE(2006)5036
							      
							    
							"	"Eurojust"	2006-11-01	2006-10-01	2006-01-01
"Role of Eurojust in protecting the Community's financial interests"	2006-08-07	"http://www.europarl.europa.eu/RegData/questions/ecrites/2006/3630/P6_QE(2006)3630_EN.doc"	NA	"Extract:WRITTEN QUESTION E-3630/06by Gabriele Stauner (PPE-DE)to the CommissionSubject:Role of Eurojust in protecting the Community's financial interestsArticle 4 of the Council Decision of 28 February 2002 setting up Eurojust with a view to"	"
								 
							      
							      
							         P6_QE(2006)3630
							      
							    
							"	"Eurojust"	2006-08-01	2006-07-01	2006-01-01
"Role of Eurojust in protecting the Community's financial interests"	2006-08-07	"http://www.europarl.europa.eu/RegData/questions/ecrites/2006/3627/P6_QE(2006)3627_EN.doc"	NA	"Extract:WRITTEN QUESTION E-3627/06by Gabriele Stauner (PPE-DE)to the CouncilSubject:Role of Eurojust in protecting the Community's financial interestsArticle 4 of the Council Decision of 28 February 2002 setting up Eurojust with a view to"	"
								 
							      
							      
							         P6_QE(2006)3627
							      
							    
							"	"Eurojust"	2006-08-01	2006-07-01	2006-01-01
"Missing persons"	2005-07-01	"http://www.europarl.europa.eu/RegData/questions/ecrites/2005/2341/P6_QE(2005)2341_EN.doc"	NA	"Extract: of missing persons, in conjunction with such bodies as Interpol, Europol and Eurojust, which would include specifically recorded details of missing persons that are believed to be victims of traffickers’<U+FFFD>.Does the Commission support the creation of"	"
								 
							      
							      
							         P6_QE(2005)2341
							      
							    
							"	"Eurojust"	2005-07-01	2005-07-01	2005-01-01
"Abductions of persons on the territories of EU Member States and transfer to custody in third countries"	2005-06-21	"http://www.europarl.europa.eu/RegData/questions/ecrites/2005/2203/P6_QE(2005)2203_EN.doc"	NA	"Extract: delay;–request without delay that Eurojust initiate cooperation with the competent judicial authorities of the Member States concerning the instances of abduction known to date?570486.ENPE 359.820"	"
								 
							      
							      
							         P6_QE(2005)2203
							      
							    
							"	"Eurojust"	2005-06-01	2005-04-01	2005-01-01
"Eurojust"	2005-05-18	"http://www.europarl.europa.eu/RegData/questions/ecrites/2005/1705/P6_QE(2005)1705_EN.doc"	NA	"Extract:WRITTEN QUESTION E-1705/05by Carlos Coelho (PPE-DE)to the CommissionSubject:EurojustOn a visit to Europol and Eurojust on 20 April 2005 with the European Parliament's Committee on Civil Liberties, Justice and Home Affairs, I noticed the"	"
								 
							      
							      
							         P6_QE(2005)1705
							      
							    
							"	"Eurojust"	2005-05-01	2005-04-01	2005-01-01
"Eurojust"	2005-05-18	"http://www.europarl.europa.eu/RegData/questions/ecrites/2005/1704/P6_QE(2005)1704_EN.doc"	NA	"Extract:WRITTEN QUESTION E-1704/05by Carlos Coelho (PPE-DE)to the CouncilSubject:EurojustAs a member of a delegation of Parliament's Committee on Civil Liberties, Justice and Home Affairs, I paid a visit to Europol and Eurojust on 20 April 2005"	"
								 
							      
							      
							         P6_QE(2005)1704
							      
							    
							"	"Eurojust"	2005-05-01	2005-04-01	2005-01-01
"Eurojust"	2003-10-08	"http://www.europarl.europa.eu/RegData/questions/ecrites/2003/2968/P5_QE(2003)2968_EN.doc"	NA	"Extract:WRITTEN QUESTION E-2968/03by Maurizio Turco (NI)to the CommissionSubject:EurojustCan the Commission state:which Member States amended their national law before 6 September 2003, the deadline laid down in Article 42 of Decision 2002/187"	"
								 
							      
							      
							         P5_QE(2003)2968
							      
							    
							"	"Eurojust"	2003-10-01	2003-10-01	2003-01-01
"European security project"	2003-07-02	"http://www.europarl.europa.eu/RegData/questions/ecrites/2003/2214/P5_QE(2003)2214_EN.doc"	NA	"Extract: could make to the work performed by Europol and Eurojust?whether similar initiatives have been taken in the EU?what general security framework exists in Europe?502146.ENPE 333.323"	"
								 
							      
							      
							         P5_QE(2003)2214
							      
							    
							"	"Eurojust"	2003-07-01	2003-07-01	2003-01-01
"Eurojust"	2003-05-28	"http://www.europarl.europa.eu/RegData/questions/ecrites/2003/1790/P5_QE(2003)1790_EN.doc"	NA	"Extract:WRITTEN QUESTION E-1790/03by Claude Moraes (PSE)to the CommissionSubject:EurojustHow does the Commission propose that MEPs will be consulted on the activities of Eurojust?498632.ENPE 332.164"	"
								 
							      
							      
							         P5_QE(2003)1790
							      
							    
							"	"Eurojust"	2003-05-01	2003-04-01	2003-01-01
"Eurojust annual report for 2002"	2003-05-23	"http://www.europarl.europa.eu/RegData/questions/ecrites/2003/1734/P5_QE(2003)1734_EN.doc"	NA	"Extract:WRITTEN QUESTION E-1734/03by Maurizio Turco (NI)to the CouncilSubject:Eurojust annual report for 2002The Eurojust annual report for 2002 highlights many problems linked to the functioning and the activities of that body. As regards"	"
								 
							      
							      
							         P5_QE(2003)1734
							      
							    
							"	"Eurojust"	2003-05-01	2003-04-01	2003-01-01
"Setting-up of a child pornography data bank"	2002-05-23	"http://www.europarl.europa.eu/RegData/questions/ecrites/2002/1450/P5_QE(2002)1450_EN.doc"	NA	"Extract: child pornography products, that cooperation between Europol and Eurojust would be established during the Belgian Presidency and that a framework decision was being prepared at European level with a view to a harmonised legal qualification.Are Europol"	"
								 
							      
							      
							         P5_QE(2002)1450
							      
							    
							"	"Eurojust"	2002-05-01	2002-04-01	2002-01-01
"Tactical units preparing for attacks inspired by 'left-wing ideologies'"	2018-12-11	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/005935/P8_QE(2018)005935_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/005935/P8_QE(2018)005935_EN.pdf"	"Extract: exercise, the Austrian Presidency and the Director of Europol agreed to work more closely with the ATLAS Network. According to a statement by Europol, the aim is for these special task forces to be able to respond to attacks inspired not only by religious"	"
								 
							      
							      
							         P8_QE(2018)005935
							      
							    
							"	"Europol"	2018-12-01	2018-10-01	2018-01-01
"Protecting children from criminal human trafficking networks"	2018-11-28	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/005773/P8_QE(2018)005773_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/005773/P8_QE(2018)005773_EN.pdf"	"Extract:1169151.EN PE 630.168 Question for written answer E-005773/2018 to the Commission Rule 130 Elissavet Vozemberg-Vrionidi (PPE) Subject: Protecting children from criminal human trafficking networks According to a recent Europol report, the"	"
								 
							      
							      
							         P8_QE(2018)005773
							      
							    
							"	"Europol"	2018-11-01	2018-10-01	2018-01-01
"Preventing terrorism financing through tax fraud"	2018-10-30	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/005321/P8_QE(2018)005321_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/005321/P8_QE(2018)005321_EN.pdf"	"Extract: and cannot be easily noticed, and there are a number of problems that it leaves behind. The money can only be returned to the budget in rare cases. According to figures from Europol representatives, EUR 40-60 billion of annual VAT losses are caused"	"
								 
							      
							      
							         P8_QE(2018)005321
							      
							    
							"	"Europol"	2018-10-01	2018-10-01	2018-01-01
"Counter-terrorism cooperation agreement between Europol and the Kingdom of Morocco"	2018-07-31	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/004102/P8_QE(2018)004102_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/004102/P8_QE(2018)004102_EN.pdf"	"Extract:1159788.EN PE 625.906 Question for written answer E-004102/2018 to the Commission Rule 130 Rachida Dati (PPE) Subject: Counter-terrorism cooperation agreement between Europol and the Kingdom of Morocco In December 2017, the Commission"	"
								 
							      
							      
							         P8_QE(2018)004102
							      
							    
							"	"Europol"	2018-07-01	2018-07-01	2018-01-01
"Eurofisc"	2018-07-31	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/004052/P8_QE(2018)004052_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/004052/P8_QE(2018)004052_EN.pdf"	"Extract: authorities and law enforcement agencies (OLAF, Europol, the European Public Prosecutor’s Office) on cross-border activities likely to lead to VAT fraud. This would considerably improve the exchange of information between Eurofisc, Europol and OLAF, even"	"
								 
							      
							      
							         P8_QE(2018)004052
							      
							    
							"	"Europol"	2018-07-01	2018-07-01	2018-01-01
"Premature release or parole for convicted prisoners who have been radicalised"	2018-07-31	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003963/P8_QE(2018)003963_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003963/P8_QE(2018)003963_EN.pdf"	"Extract: Committee on Terrorism submitted a draft report setting out its ‘findings and recommendations’ (2018/2044 (INI)). Prepared with input from Eurojust and Europol, the report – albeit still at draft stage – expresses concern about ‘inadequate sentences"	"
								 
							      
							      
							         P8_QE(2018)003963
							      
							    
							"	"Europol"	2018-07-01	2018-07-01	2018-01-01
"EU-Turkey agreement on the exchange of personal data between Europol and the competent Turkish authorities"	2018-07-24	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003869/P8_QE(2018)003869_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003869/P8_QE(2018)003869_EN.pdf"	"Extract:1158975.EN PE 625.673 Question for written answer E-003869/2018 to the Commission Rule 130 Costas Mavrides (S&D) Subject: EU-Turkey agreement on the exchange of personal data between Europol and the competent Turkish authorities On 20"	"
								 
							      
							      
							         P8_QE(2018)003869
							      
							    
							"	"Europol"	2018-07-01	2018-07-01	2018-01-01
"Jihadi escalation from Kosovo"	2018-07-20	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003849/P8_QE(2018)003849_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003849/P8_QE(2018)003849_EN.pdf"	"Extract:.  What urgent measures will the Commission take, in cooperation with Europol and the intelligence services of the Member States, to combat the jihadi threat from Kosovo?  Does not the Commission consider that it should as soon as possible bring"	"
								 
							      
							      
							         P8_QE(2018)003849
							      
							    
							"	"Europol"	2018-07-01	2018-07-01	2018-01-01
"Human trafficking"	2018-07-12	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003495/P8_QE(2018)003495_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003495/P8_QE(2018)003495_EN.pdf"	"Extract: manoeuvre illicit goods, such as drugs and weapons. By extension, this too applies to terrorists. According to Europol, free movement makes it difficult to detect this criminal activity. In my opinion, Member States should leave the EU in order to"	"
								 
							      
							      
							         P8_QE(2018)003495
							      
							    
							"	"Europol"	2018-07-01	2018-07-01	2018-01-01
"Eurojust"	2018-07-12	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003484/P8_QE(2018)003484_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003484/P8_QE(2018)003484_EN.pdf"	"Extract:-Terrorism Register at Eurojust.  The sharing of information held by national authorities is indeed crucial for better combating terrorism on the European continent, at a time when Europol is indicating that the number of jihadist attacks in Europe"	"
								 
							      
							      
							         P8_QE(2018)003484
							      
							    
							"	"Europol"	2018-07-01	2018-07-01	2018-01-01
"Stolen documents help illegal migrants enter the EU"	2018-07-12	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003463/P8_QE(2018)003463_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003463/P8_QE(2018)003463_EN.pdf"	"Extract: to Europol data, over 200 000 people crossed the European border in this way last year. Security experts warn that these practices are a cause of the uncontrolled entry of criminals and terrorists into the EU. Migrant smugglers are increasingly"	"
								 
							      
							      
							         P8_QE(2018)003463
							      
							    
							"	"Europol"	2018-07-01	2018-07-01	2018-01-01
"Participation of military authorities in the Europol network SIENA"	2018-07-12	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003445/P8_QE(2018)003445_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003445/P8_QE(2018)003445_EN.pdf"	"Extract:1157073.EN PE 624.445 Question for written answer E-003445/2018 to the Commission Rule 130 Cornelia Ernst (GUE/NGL) Subject: Participation of military authorities in the Europol network SIENA Europol is launching its encrypted network"	"
								 
							      
							      
							         P8_QE(2018)003445
							      
							    
							"	"Europol"	2018-07-01	2018-07-01	2018-01-01
"EU-Turkey agreement on exchange of personal data between Europol and competent Turkish authorities"	2018-07-12	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003097/P8_QE(2018)003097_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003097/P8_QE(2018)003097_EN.pdf"	"Extract:1155418.EN PE 623.178 Question for written answer E-003097/2018/rev.1 to the Commission Rule 130 Costas Mavrides (S&D) Subject: EU-Turkey agreement on exchange of personal data between Europol and competent Turkish authorities On 20"	"
								 
							      
							      
							         P8_QE(2018)003097
							      
							    
							"	"Europol"	2018-07-01	2018-07-01	2018-01-01
"Security at rest areas used by road transport workers"	2018-06-27	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003215/P8_QE(2018)003215_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/003215/P8_QE(2018)003215_EN.pdf"	"Extract: are being taken to improve security at rest areas, and does Europol have any suggestions as to how to combat this kind of crime, which is often committed by organised groups?"	"
								 
							      
							      
							         P8_QE(2018)003215
							      
							    
							"	"Europol"	2018-06-01	2018-04-01	2018-01-01
